employer,employee
Microsoft,Anatollo Dwelley
Amazon,Thorsten Earthly
IBM,Ernesto Schuck
IBM,Daniel Drexler
Data61,Gus Owenby
Google,Dell Ennals
Microsoft,Luis Kralik
NICTA,Murphy Maxcy
Amazon,Emmit Pulkrabek
CSIRO,Rory Derickson
Amazon,Dwaine Mooreland
Microsoft,Lothar Mykins
Amazon,Sandro Patchin
NICTA,Hoyt Debold
Microsoft,Baily Perkerson
IBM,Philbert Kaiktsian
IBM,Jean Vega
Google,Stig Kreighbaum
CSIRO,Mitchell Setting
Microsoft,Engelbert Stevison
Data61,Augustus Silsbee
CSIRO,Cole Butkowski
Microsoft,Patin Adi
Microsoft,Coleman Prag
CSIRO,Rudiger Schubach
NICTA,Elmore Mana
Microsoft,Westleigh Carico
Data61,Igor Ligonis
NICTA,Timmy Bagley
NICTA,Avery Lopau
Amazon,Tad Kloppenburg
Microsoft,Moises Phlegm
Google,Olle Ablao
Data61,Osbourne Holtman
Google,Bentley Bakley
NICTA,Giffard Mceniry
NICTA,Shaun Priess
IBM,Hart Laganga
Google,Hailey Kevern
Microsoft,Odin Ockimey
CSIRO,Bealle Demesa
Amazon,Solly Vantreese
CSIRO,Florian Sipho
Microsoft,Rustie Yagle
IBM,Pierson Lyndon
Google,Abbey Vanduyn
NICTA,Sander Eckland
CSIRO,Matthaeus Courcelle
Microsoft,Lucian Uram
NICTA,Louie Matts
Microsoft,Bharat Heneisen
IBM,Pinchas Blanks
Data61,Marc Weader
Google,Vern Minzy
Amazon,Douggie Marshburn
Amazon,Theodor Khilling
Amazon,Toddy Goodell
NICTA,Chaim Lewars
Microsoft,Hendrik Schowengerdt
CSIRO,Ray Chattin
NICTA,Uriel Sayavong
Amazon,Taddeus Pevez
Amazon,Steffen Mahunik
IBM,Skipper Mahar
Google,Michale Pevez
Amazon,Isadore Jurcik
NICTA,Rubin Marash
IBM,Russ Bollaert
CSIRO,Manny Bulcao
Data61,Theodore Aguon
Data61,Ransell Agudelo
CSIRO,Larry Leibe
Data61,Dougie Catchings
IBM,Vite Kostrzewa
Data61,Danie Kitzman
Amazon,Stanton Marsili
Data61,Eduard Kroetz
CSIRO,Temp Mangrich
Amazon,Giavani Laurenceau
Data61,Ferdy Martinex
Amazon,Monte Theard
IBM,Scarface Smaller
NICTA,Waldon Seyal
Data61,Zacharie Debore
Data61,Neron Biltz
Microsoft,Angus Dublin
Amazon,Claire Jolicoeur
Microsoft,Guillermo Wingler
CSIRO,Gay Batzri
IBM,Stanleigh Noya
Microsoft,Pat Slane
Data61,Staffard Bugarin
Google,Beowulf Winbush
CSIRO,Mathias Rodrguez
Data61,Forrester Leventer
IBM,Melvin Hubertz
NICTA,Marco Haymore
IBM,Vladimir Sugarman
IBM,Brandy Creasey
Data61,Buster Lavista
Data61,Tad Casmore
Data61,Roberto Bartkus
CSIRO,Harris Jerko
IBM,Derick Fabert
Amazon,Hunt Espinoza
NICTA,Aziz Niess
Microsoft,Blare Mendoca
Data61,Duffie Rog
Amazon,Iggy Gueits
Microsoft,Carsten Blakley
Microsoft,Luther Perfetti
Data61,Tre Huitron
Amazon,Valentine Seaward
Microsoft,Butler Kuja
NICTA,Phil Allison
