art-work.birthYear,art-work.accession-id,art-work.image-URL,art-work.collection,art-work.copyright,art-work.type,art-work.url,art-work.title,art-work.nationality,art-work.when-acquired,art-work.dimensions,art-work.birthPlaceCity,art-work.artistName,art-work.credit,art-work.birthPlaceState,art-work.keywords,art-work.deathPlaceState,art-work.deathYear,art-work.deathPlaceCity
1951,2003.306.A.274,http://www.sfmoma.org/images/artwork/medium/2003.306.A.274_03_b03.jpg,SFMOMA,Deborah Luster,photograph,http://www.sfmoma.org/explore/collection/artwork/114593,"L.S.P. 36, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",Oregon,,,,
1951,2003.306.A.272,http://www.sfmoma.org/images/artwork/medium/2003.306.A.272_03_b03.jpg,SFMOMA,Deborah Luster,photograph,http://www.sfmoma.org/explore/collection/artwork/114591,"L.S.P. 37, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",Oregon,,,,
1951,2003.306.A.269,http://www.sfmoma.org/images/artwork/medium/2003.306.A.269_01_b04.jpg,SFMOMA,Deborah Luster,photograph,http://www.sfmoma.org/explore/collection/artwork/114588,"L.S.P. 38, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",Oregon,,,,
1951,2003.306.A.279,http://www.sfmoma.org/images/artwork/medium/2003.306.A.279_01_b04.jpg,SFMOMA,Deborah Luster,photograph,http://www.sfmoma.org/explore/collection/artwork/114598,"L.S.P. 39, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",Oregon,,,,
1951,2003.306.A.266,http://www.sfmoma.org/images/artwork/medium/2003.306.A.266_03_b03.jpg,SFMOMA,Deborah Luster,photograph,http://www.sfmoma.org/explore/collection/artwork/114585,"L.S.P. 4, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",Oregon,,,,
1951,2003.306.A.18,http://www.sfmoma.org/images/artwork/medium/2003.306.A.18_01_b02.jpg,SFMOMA,Deborah Luster,photograph,http://www.sfmoma.org/explore/collection/artwork/114306,"L.S.P. 40, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",Oregon,,,,
1951,2003.306.A.270,http://www.sfmoma.org/images/artwork/medium/2003.306.A.270_03_b03.jpg,SFMOMA,Deborah Luster,photograph,http://www.sfmoma.org/explore/collection/artwork/114589,"L.S.P. 41, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",Oregon,,,,
1951,2003.306.A.251,http://www.sfmoma.org/images/artwork/medium/2003.306.A.251_01_b02.jpg,SFMOMA,Deborah Luster,photograph,http://www.sfmoma.org/explore/collection/artwork/114570,"L.S.P. 42, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",Oregon,,,,
1951,2003.306.A.211,http://www.sfmoma.org/images/artwork/medium/2003.306.A.211_01_b02.jpg,SFMOMA,Deborah Luster,photograph,http://www.sfmoma.org/explore/collection/artwork/114530,"L.S.P. 43, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",Oregon,,,,
1951,2003.306.A.262,http://www.sfmoma.org/images/artwork/medium/2003.306.A.262_03_b03.jpg,SFMOMA,Deborah Luster,photograph,http://www.sfmoma.org/explore/collection/artwork/114581,"L.S.P. 44, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",Oregon,,,,
1951,2003.306.A.210,http://www.sfmoma.org/images/artwork/medium/2003.306.A.210_04_b02.jpg,SFMOMA,Deborah Luster,photograph,http://www.sfmoma.org/explore/collection/artwork/114529,"L.S.P. 45, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",Oregon,,,,
1951,2003.306.A.19,http://www.sfmoma.org/images/artwork/medium/2003.306.A.19_01_b02.jpg,SFMOMA,Deborah Luster,photograph,http://www.sfmoma.org/explore/collection/artwork/114307,"L.S.P. 47, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",Oregon,,,,
1951,2003.306.A.216,http://www.sfmoma.org/images/artwork/medium/2003.306.A.216_01_b04.jpg,SFMOMA,Deborah Luster,photograph,http://www.sfmoma.org/explore/collection/artwork/114535,"L.S.P. 48, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",Oregon,,,,
1951,2003.306.A.265,http://www.sfmoma.org/images/artwork/medium/2003.306.A.265_01_b04.jpg,SFMOMA,Deborah Luster,photograph,http://www.sfmoma.org/explore/collection/artwork/114584,"L.S.P. 5, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",Oregon,,,,
1951,2003.306.A.252,http://www.sfmoma.org/images/artwork/medium/2003.306.A.252_03_b02.jpg,SFMOMA,Deborah Luster,photograph,http://www.sfmoma.org/explore/collection/artwork/114571,"L.S.P. 50, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",Oregon,,,,
1951,2003.306.A.215,http://www.sfmoma.org/images/artwork/medium/2003.306.A.215_01_b04.jpg,SFMOMA,Deborah Luster,photograph,http://www.sfmoma.org/explore/collection/artwork/114534,"L.S.P. 52, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",Oregon,,,,
1951,2003.306.A.250,http://www.sfmoma.org/images/artwork/medium/2003.306.A.250_01_b02.jpg,SFMOMA,Deborah Luster,photograph,http://www.sfmoma.org/explore/collection/artwork/114569,"L.S.P. 53, from the series One Big Self: Prisoners of Louisiana",American,2003,12.7 cm x 10.16 cm,Bend,Deborah Luster,"Purchase through a gift of H. Marcia Smolens Rubin and Accessions Committee Fund: gift of Martha and Bruce Atwater, Charles Betlach II, Shawn and Brook Byers, Mr. and Mrs. Brooks Walker, Jr., and Robin Wright",Oregon,,,,
